sno,type,title,chapters,status,genres,popularity,score,authors,publish_time
0,manhwa,Solo Leveling,201,Finished,"Action,Adventure,Fantasy",7,8.68,"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)","Mar  4, 2018 to May  31, 2023"
1,manhwa,The Horizon,21,Finished,"Adventure,Drama",187,8.67,"Jeong, Ji-Hoon (Story & Art)","Mar  30, 2016 to Jul  21, 2016"
2,manhwa,Wind Breaker,NULL,Publishing,"Action,Drama,Sports",368,8.58,"Jo, Yongseok (Story & Art)","Dec  15, 2013 to "
3,manhwa,Bastard,94,Finished,"Drama,Horror,Mystery,Romance",84,8.5,"Kim, Carnby (Story), Hwang, Young-chan (Art)","Jul  4, 2014 to May  6, 2016"
4,manhwa,Who Made Me a Princess,125,Finished,"Comedy,Fantasy,Romance",349,8.44,"Plutus (Story), Spoon (Art)","Dec  20, 2017 to Apr  30, 2022"
5,manhwa,The Boxer,123,Finished,"Drama,Sports",550,8.42,"Jeong, Ji-Hoon (Story & Art)","Dec  4, 2019 to May  4, 2022"
6,manhwa,The Breaker,72,Finished,"Action,Comedy,Drama",76,8.4,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)","Jun  1, 2007 to Jul  20, 2010"
7,manhwa,Eleceed,NULL,Publishing,Action,1104,8.4,"Kim, Hye-Jin (Art), Son, Jae-Ho (Story)","Oct  2, 2018 to "
8,manhwa,Tower of God,NULL,Publishing,"Action,Adventure,Drama,Fantasy,Mystery",42,8.39,SIU (Story & Art),"Jul  5, 2010 to "
9,manhwa,Omniscient Reader,NULL,Publishing,"Action,Adventure,Fantasy",152,8.39,"sing N song (Story), Sleepy-C (Art)","May  26, 2020 to "
10,manhwa,The Legend of the Northern Blade,NULL,Publishing,"Action,Adventure,Fantasy",648,8.39,"Woogack (Story), Hae, Min (Art)","Dec  31, 2019 to "
11,manhwa,The Breaker: New Waves,203,Finished,"Action,Comedy,Drama,Romance",143,8.37,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)","Oct  8, 2010 to May  8, 2015"
12,manhwa,Seasons of Blossom,130,Finished,Romance,3060,8.34,"Hongduck (Story), NEMONE (Art)","Jun  24, 2020 to Mar  24, 2023"
13,manhwa,After School Lessons for Unripe Apples,NULL,Publishing,Romance,7070,8.29,Soonkki (Story & Art),"Dec  23, 2020 to "
14,manhwa,Annarasumanara,27,Finished,"Drama,Mystery,Romance",220,8.28,"Ha, Il-Kwon (Story & Art)","Jul  2, 2010 to Dec  31, 2010"
15,manhwa,Sweet Home,141,Finished,"Action,Drama,Horror,Suspense",209,8.26,"Kim, Carnby (Story), Hwang, Young-chan (Art)","Oct  12, 2017 to Jul  2, 2020"
16,manhwa,Villains Are Destined to Die,NULL,Publishing,"Drama,Fantasy,Romance",714,8.24,"Gwon, Gyeoeul (Story), SUOL (Art)","May  1, 2020 to "
17,manhwa,Daytime Star,77,Finished,Romance,4839,8.23,"Chae-eun (Story), Godago (Art)","Jun  25, 2021 to Jan  9, 2023"
18,manhwa,Spirit Fingers,163,Finished,"Comedy,Romance,Life",2890,8.22,"Han, Kyoung-chal (Story & Art)","May  16, 2015 to Jul  21, 2018"
19,manhwa,The Greatest Estate Developer,NULL,Publishing,"Adventure,Fantasy",2094,8.2,"Moon, Back-kyung (Story), Kim, Hyunsoo (Art)","Jul  30, 2021 to "
20,manhwa,Your Throne,NULL,Publishing,"Drama,Fantasy,Romance",848,8.19,SAM (Story & Art),"Jan  6, 2020 to "
21,manhwa,Return of the Blossoming Blade,NULL,Publishing,"Action,Adventure,Fantasy",1640,8.18,"LICO (Art), Biga (Story)","Mar  23, 2021 to "
22,manhwa,I Shall Master This Family,NULL,Publishing,Fantasy,2314,8.15,"Kim, Roah (Story), Mon (Art)","Feb  28, 2021 to "
